Build Number,Correct
_,false
-,false
--,false
---,false
----,false
",",false
?,false
.,false
@,false
*,false
***,false
/,false
//,false
\,false
#,false
×,false
=+,false
0,false
00,false
000,false
0000,false
00000,false
0000000,false
00003,false
0001,false
00011,false
0002,false
00023,false
0003,false
00036,false
0005,false
0006,false
0007,false
001,false
0011,false
0012,false
002,false
003,false
004,false
0052,false
007,false
00б,false
01,false
010,false
0100,false
0101,false
011,false
0111,false
0168,false
018,false
02,false
020,false
021,false
022,false
023,false
024,false
0245,false
028,false
029,false
03,false
030,false
031,false
033,false
04,false
041,false
048,false
05,false
052,false
057,false
06,false
0606,false
07,false
08,false
09,false
0в,false
0г,false
1,true
1 К3,false
1-1,true
1-10,true
1-14,true
1-15,true
1-2,true
1-20,true
1-20а,false
1-20А,false
1-22,true
1-3,true
1-3/2,false
1-3/2а,false
1-31,true
1-5,true
1-А,false
1-в/4,false
1-в/5,false
1-в/6,false
1-в/8,false
1-з/1,false
1-з/2,false
1-п/1,false
1-С,false
1-A,false
1–31,false
"1,1/1",false
1.1/1,false
1/1,true
1/10,true
1/11,true
1/12,true
1/13,true
1/14,true
1/16,true
1/16/1,false
1/16/14,false
1/16/2,false
1/16/3,false
1/16/4,false
1/16/7,false
1/1610,false
1/163,true
1/166,true
1/169,true
1/17,true
1/17/,false
1/17/2,false
1/172,true
1/173,true
1/174,true
1/17в,false
1/17д,false
1/17е,false
1/17ж,false
1/18,true
1/181,true
1/19,true
1/1а,false
1/1а13,false
1/1а17,false
1/1а20,false
1/1а24,false
1/1а3,false
1/1а6,false
1/1б,false
1/1Б,false
1/1б14,false
1/1б16,false
1/1б17,false
1/1б20,false
1/1в,false
1/1В,false
1/1в18,false
1/1в4,false
1/1в7,false
1/1в8,false
1/1г,false
1/1к7,false
1/2,true
1/2/1,false
1/2/2,false
1/20,true
1/21,true
1/22,true
1/23,true
1/24,true
1/25,true
1/261-5,false
1/262-5,false
1/262-6,false
1/263-4,false
1/263-7,false
1/27,true
1/29,true
1/2д,false
1/3,true
1/3/1,false
1/3/2,false
1/31,true
1/32,true
1/33,true
1/34,true
1/35,true
1/36,true
1/361-5,false
1/361-7,false
1/362-6,false
1/363-8,false
1/3а,false
1/4,true
1/40,true
1/41,true
1/42,true
1/421-2,false
1/421-3,false
1/421-4,false
1/421-5,false
1/421-7,false
1/421-8,false
1/421-9,false
1/43,true
1/45,true
1/46,true
1/463,true
1/47,true
1/5,true
1/5/2,false
1/51,true
1/511-1,false
1/511-6,false
1/511-7,false
1/511-8,false
1/512-5,false
1/512-6,false
1/512-8,false
1/512-9,false
1/52,true
1/53,true
1/54,true
1/55,true
1/5а,false
1/6,true
1/60,true
1/60а,false
1/61,true
1/62,true
1/66,true
1/660,true
1/69,true
1/6Б,false
1/7,true
1/79,true
1/8,true
1/9,true
1/9а,false
1/а,false
1/в,false
1\1,false
1\11,false
1\16,false
1\17,false
1\2,false
1\3,false
1\33,false
1\36,false
1\5,false
1\8,false
1\9,false
10,true
10-1,true
10-12,true
10-14,true
10-2,true
10-я станция Большого Фонтана,false
10/1,true
10/10,true
10/11,true
10/12,true
10/13,true
10/14,true
10/15,true
10/17,true
10/18,true
10/1в,false
10/2,true
10/20,true
10/21,true
10/23,true
10/24,true
10/26,true
10/3,true
10/31,true
10/4,true
10/40,true
10/5,true
10/6,true
10/62,true
10/63,true
10/7,true
10/8,true
10/82,true
10/87,true
10/9,true
10/г,false
10\1,false
10\10,false
10\12,false
10\3,false
10\5,false
10\6,false
100,true
100-б,false
100-ж,false
100/1,true
100/125,true
100/164,true
100/2,true
100/3,true
100/31,true
100/4,true
100/67,true
100/96,true
100\1,false
1000,false
10000,false
1002,false
100а,true
100а-10,true
100б,true
100б-12,true
100б-6,true
100в,true
100в-2,true
100в-6,true
100г,true
100г-11,true
100г-7,true
100д,true
100д-4,true
100д-9,true
100е,true
100ж,true
100з,true
100з-4,true
100з-7,true
100з-9,true
100к,true
100м2,false
101,true
101 Ш,false
101-1,true
101-10,true
101-11,true
101-14,true
101-17,true
101-19,true
101-3,true
101-5,true
101/1,true
101/16а,false
101/2,true
101/30,true
101/30А,false
101/34а,false
101/38а,false
101/44а,false
101/51а,false
101/6,true
101/9а,false
1010,false
1012,false
10131,false
1014,false
1015,false
1016,false
1019,false
101а,true
101А/10,false
101а/32,true
101а/34,true
101А/43,false
101а/43,true
101А/48,false
101А/56,false
101а/56,true
101а8,false
101б,true
101в,true
101ж,true
101к,true
101корп,false
101л,true
101м1,false
101м2,false
101м3,false
101м4,false
101м5,false
101ш,true
101a,false
102,true
102-1,true
102-12,true
102-13,true
102-14,true
102-3,true
102-8,true
102-9,true
102/1,true
102/112,true
102/4,true
1020,false
102а,true
102б,true
102д,true
102у,true
103,true
103-10,true
103-11,true
103-13,true
103-14,true
103-16,true
103-17,true
103-19,true
103-3,true
103-5,true
103-7,true
103-8,true
103-9,true
103/10,true
103/11,true
103/13,true
103/16,true
103/17,true
103/18,true
103/19,true
103/2,true
103/20,true
103/21,true
103/3,true
103/5,true
103/6,true
103/7,true
103/8,true
103\6,false
10316,false
1033,false
103а,true
103б,true
103a,false
104,true
104-10,true
104-11,true
104-12,true
104-13,true
104-15,true
104-17,true
104-3,true
104-4,true
104-8,true
104-9,true
104/1,true
104/1а,false
104/2,true
104/2а,false
104/2А,false
104/б,false
104\24,false
1041,false
1042,false
104а,true
104б,true
104a,false
105,true
105/1,true
105/4,true
10500,false
105а,true
105б,true
105в,true
105д,true
105е,true
106,true
106/1,true
106/2,true
106а,true
106б,true
106в,true
106д,true
106a,false
107,true
107-2,true
107/109,true
107а,true
107б,true
107Б/2,false
107б/3,true
107б/4,true
107в,true
107г,true
107a,false
108,true
108/1,true
108/2,true
108/3,true
108\3,false
108а,true
108а1,false
108а2,false
108б,true
108в,true
108к2,false
108к3,false
109,true
109/1,true
109/2,true
109/20,true
109а,true
109б,true
109в,true
109д,true
10а,true
10а5,false
10б,true
10в,true
10г,true
10д,true
10е,true
10ж,true
10к,true
10к4,false
10корп,false
10корп1,false
10м,true
10о,true
10с,true
10ти,false
10a,false
11,true
11-1,true
11-13,true
11-15,true
11-15б,false
11-2,true
11-21,true
11-3,true
11-4,true
11-5,true
11/1,true
11/11,true
11/12,true
11/13,true
11/14,true
11/15,true
11/16,true
11/17,true
11/171,true
11/19,true
11/1б,false
11/2,true
11/21,true
11/24,true
11/29,true
11/2А,false
11/3,true
11/36,true
11/39,true
11/4,true
11/44,true
11/5,true
11/6,true
11/61,true
11/632,true
11/7,true
11/8,true
11\1,false
11\15,false
11\21,false
11\3,false
11\39,false
11\44,false
11\5,false
11\6,false
110,true
110-112,true
110-2,true
110-3,true
110-6,true
110-8,true
110-9,true
110/1,true
110/111,true
110/112,true
110/12,true
110/209,true
110/255,true
110/312,true
110/40,true
1100,false
1101,false
1105,false
110а,true
110б,true
110в,true
111,true
111-113,true
111-3,true
111-4,true
111-6,true
111-7,true
111-8,true
111-9,true
111/1,true
111/113,true
111/2,true
111/2а,false
111/3,true
1111,false
11111,false
111111,false
1111111,false
11112,false
1112,false
1112а,false
1114,false
111а,true
111б,true
111в,true
111г,true
111е,true
112,true
112-1,true
112-114,true
112-2,true
112-5,true
112-6,true
112-7,true
112-8,true
112/1,true
112/2,true
112\114,false
1121,false
1122-3,false
112а,true
112а/2,true
112б,true
112в,true
112г,true
112д,true
112е,true
112к,true
113,true
113-4,true
113-5,true
113-8,true
113-9,true
113/1,true
113/2,true
113/7,true
113а,true
113б,true
113г,true
113к,true
114,true
114/1,true
114/115,true
114/2,true
114/5,true
114/в,false
114\1,false
114а,true
114б,true
114в,true
114г,true
114д,true
114е,true
114ж,true
114к3,false
114р,true
114с1,false
114с2,false
114e,false
115,true
115-1,true
115/1,true
115/117,true
115/160,true
115/2,true
115/3,true
115/6д,false
1158,false
115а,true
115б,true
115г,true
115д,true
115ж,true
115a,false
116,true
116/1,true
116/2,true
116/8,true
116а,true
116б,true
116в,true
116г,true
116к2,false
116р,true
116т,true
116a,false
117,true
117-1,true
117/119,true
117/3,true
117а,true
117б,true
117д,true
117корп,false
117a,false
118,true
118-Б,false
"118,3",false
118/1,true
118/19,true
118/1в,false
118/2,true
118/3,true
118\2,false
1181,false
1185,false
118а,true
118а-1а,false
118а-1б,false
118а-1в,false
118а-2а,false
118а-2б,false
118а-2в,false
118а-3а,false
118а-3б,false
118а-3в,false
118а/1,true
118А/1,false
118А/1А,false
118а/1а,false
118А/1В,false
118а/2,true
118А/2,false
118а/2б,false
118А/2Б,false
118а/2Б,false
118а/2в,false
118а/3,true
118А/3,false
118а/3б,false
118А/3Б,false
118а/3в,false
118а\1,false
118а1,false
118А2,false
118а3,false
118б,true
118б/2,true
118д,true
118a,false
119,true
119-121,true
119-13,true
119а,true
119б,true
119х,true
11а,true
11а/2,true
11б,true
11в,true
11г,true
11д,true
11е,true
11к,true
11с,true
11a,false
12,true
12 ,false
12-1,true
12-10,true
12-2,true
12/1,true
12/10,true
12/11,true
12/14,true
12/15,true
12/16,true
12/18,true
12/1а,false
12/1В,false
12/2,true
12/21,true
12/23,true
12/25,true
12/28,true
12/3,true
12/37,true
12/3д,false
12/4,true
12/42,true
12/5,true
12/6,true
12/7,true
12/8,true
12/9,true
12/92,true
12/а,false
12\14,false
12\16,false
12\2,false
12\3,false
12\37,false
120,true
120/3,true
1202,false
120а,true
120б,true
120К3,false
120корп,false
121,true
121 К2,false
121-10,true
121-5,true
121/1,true
121/2,true
1211,false
1212,false
1213,false
1214,false
1217,false
1219,false
121а,true
121б,true
121д,true
121к1,false
122,true
122-13,true
122-17,true
122-19,true
122/1,true
122/124,true
122/1а,false
122/1б,false
122/1Б,false
122/1в,false
122/3,true
1221,false
1221а,false
1222,false
12233,false
1228,false
122а,true
122а-1в,false
122б,true
122д,true
122к2,false
122корп,false
122a,false
123,true
123-127,true
123/1,true
123/2,true
123/3,true
123/4,true
123/5,true
1233,false
1234,false
12344,false
12345,false
123а,true
123б,true
124,true
124 А,false
124-12,true
124-128,true
124-2,true
124-3,true
124-5,true
124/1,true
124/2,true
124/7,true
1241,false
12456,false
124а,true
124б,true
125,true
125-131,true
125/1,true
125/2,true
125/3,true
125/4,true
125/5,true
125\2,false
125а,true
125г,true
126,true
126/1,true
126/10,true
126/13,true
126/14,true
126/16,true
126/17,true
126/18,true
126/19,true
126/2,true
126/20,true
126/8,true
126/9,true
126\10,false
126\14,false
1261,false
126а,true
126б,true
126в,true
126г,true
126корп,false
127,true
127/1,true
127/2,true
1271,false
1272,false
1273,false
127а,true
127б,true
128,true
128-130,true
128/1,true
128/2,true
128а,true
128б,true
128г,true
129,true
129/131,true
129/2,true
1293,false
129а,true
129б,true
129в,true
12а,true
12а к1,false
12А/1,false
12а/1,true
12А/2,false
12а1,false
12а2,false
12б,true
12буд1,false
12в,true
12г,true
12д,true
12е,true
